Key,English,Japanese
CS_LIMITED_OFFER,Limited Offer,限定オファー
CS_NEW_COSTUME,New Costume,新コスチューム
CS_NEW_PICKUP_PET,New Pickup Pet,新収集ペット
CS_FASHION,Fashion,ファッション
CS_FASHION_SETS,Fashion Sets,ファッションセット
CS_FASHION_PIECES,Fashion Pieces,ファッションパーツ
CS_CLOAKS,Cloaks,マント
CS_MASKS_GLASSES_HAIR,Masks & Glasses & Hair,マスク＆メガネ＆ヘアー
CS_PICKUP_PETS,Pickup Pets,収集ペット
CS_FLYING,Flying,飛行
CS_CONSUMABLES,Consumables,消耗品
CS_RECOVERY,Recovery,回復
CS_SCROLL,Scroll,巻物
CS_BUFF,Buff,バフ
CS_BLINKWING,Blink Wing,ブリンクウィング
CS_TRANS,Trans,変身
CS_MATERIAL,Material,材料
CS_PROTECTION,Protection,保護の巻物
CS_AWAKES,Awakes,覚醒
CS_UPGRADE,Upgrade,アップグレード
CS_RANDOM,Random,ランダム付与
CS_STONE,Stone,ストーン
CS_VENDOR_SHOP,Vendor Shop,売り子
CS_FLASK_POTION,Flask & Potion,秘薬＆ポーション
CS_MISC,Misc,雑貨
CS_EFFECT,Effect,エフェクト
CS_PENYA,Penya,ペニャ
CS_DISCOUNT,Discount,割引セール
CS_SPECIAL_PACKAGE,Special Package,スペシャルパッケージ
CS_BLACK_FRIDAY,Black Friday,ブラックフライデー
CS_REBORN_SALES,Reborn Sales,Rebornセール
CS_FWC,FWC,FWC
CS_HOUSING,Housing,ハウジング
CS_EVENT,Event,イベント
CS_WORLD_TEMPLATE,World Template,ワールド テンプレート
CS_WORLD_THEME_PACK,Theme Pack,テーマパック
CS_WORLD_BUNDLE_PACK,Bundle Pack,バンドルパック
CS_WORLD_SINGLE_PACK,Single Pack,シングルパック
CS_NPC,NPC,NPC
CS_COUPLE,Couple,カップル
