Key,English,Japanese
PROPCTRL_TXT_000000,Small Treasure Chest,小さい宝箱
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),小さい宝箱_縦
PROPCTRL_TXT_000004,FlDungeon Lever,レブ
PROPCTRL_TXT_000006,FlDungeon Gate,ダンジョン入口
PROPCTRL_TXT_000008,Keakoon Prison,キクンの監獄
PROPCTRL_TXT_000010,Chimeradon Prison,キメラドンの監獄
PROPCTRL_TXT_000012,Meteonyker Prison,メテオニカの監獄
PROPCTRL_TXT_000014,Pink Roach Egg,ピンクローチの卵
PROPCTRL_TXT_000016,Blue Roach Egg,ブルーローチの卵
PROPCTRL_TXT_000028,Warp Machine,ワープマシン
PROPCTRL_TXT_000030,Warp Board 1,ワープボード
PROPCTRL_TXT_000032,Warp Board 2,ワープボード
PROPCTRL_TXT_000034,Warp Board 3,ワープボード
PROPCTRL_TXT_000036,Exp Box,経験値ボックス
PROPCTRL_TXT_000037,Harvest Plant 01,収穫植物 01
PROPCTRL_TXT_000038,Harvest Plant 02,収穫植物 02
PROPCTRL_TXT_000039,Harvest Plant 03,収穫植物 03
PROPCTRL_TXT_000040,Harvest Plant 04,収穫植物 04
PROPCTRL_TXT_000041,Children in cage,檻の中の子供
PROPCTRL_TXT_000042,Pet Cage 01,ペットケージ 01
PROPCTRL_TXT_000043,Pet Cage 02,ペットケージ 02
PROPCTRL_TXT_000044,Pet Cage 03,ペットケージ 03
PROPCTRL_TXT_000045,Pet Cage 04,ペットケージ 04
PROPCTRL_TXT_000046,Pet Cage 05,ペットケージ 05
PROPCTRL_TXT_000047,Pet Cage 06,ペットケージ 06
PROPCTRL_TXT_000048,Pet Cage 07,ペットケージ 07
PROPCTRL_TXT_000049,Dungeon Warp 01,ダンジョンワープ01
PROPCTRL_TXT_000050,Dungeon Warp 02,ダンジョンワープ02
PROPCTRL_TXT_000051,Dungeon Warp 03,ダンジョンワープ03
PROPCTRL_TXT_000052,Dungeon Warp 04,ダンジョンワープ04
PROPCTRL_TXT_000053,Straight Palm Tree,まっすぐなヤシの木
PROPCTRL_TXT_000054,Leaning Palm Tree,傾いたヤシの木
PROPCTRL_TXT_000055,Branch Coral,ブランチコーラル
PROPCTRL_TXT_000056,Round Red Coral,丸い赤珊瑚
PROPCTRL_TXT_000057,Leren Chasm Chest,レレン層岩巨淵の宝箱
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,リシスの地下墓地の宝箱
PROPCTRL_TXT_000059,Envy Depths Chest,エンヴィーデプスの宝箱
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,ガーディアンサンクチュアリの宝箱
PROPCTRL_TXT_000061,Storm Peak Chest,ストームピークの宝箱
PROPCTRL_TXT_000062,The Wilds Chest,荒野の宝箱
PROPCTRL_TXT_000063,Dungeon Warp 05,ダンジョンワープ05
PROPCTRL_TXT_000064,Dungeon Warp 06,ダンジョンワープ06
PROPCTRL_TXT_000065,Ship Wheel,船のホイール
PROPCTRL_TXT_000066,Cushion Chair,クッションチェア
PROPCTRL_TXT_000067,Spinning Globe,スピニンググローブ
PROPCTRL_TXT_000068,Compass,コンパス
PROPCTRL_TXT_000069,Chandelier,シャンデリア
PROPCTRL_TXT_000070,Command Desk,コマンドデスク
PROPCTRL_TXT_000071,Command Platform,コマンドプラットフォーム
PROPCTRL_TXT_000072,Small Table,スモールテーブル
PROPCTRL_TXT_000073,Drawer,引き出し
PROPCTRL_TXT_000074,Twin Bed,ツインベッド
PROPCTRL_TXT_000075,Incident Painting,インシデントペインティング
PROPCTRL_TXT_000076,Home Painting,ホームペインティング
PROPCTRL_TXT_000077,Metaverse Ball,メタバースボール
PROPCTRL_TXT_000078,Metaverse Bath Rug,メタバースバスラグ
