Key,English,Japanese
TEXTEMOTION_TXT_000000,Laugh,笑う
TEXTEMOTION_TXT_000001,Sad,泣く
TEXTEMOTION_TXT_000002,Kiss,キス
TEXTEMOTION_TXT_000003,Surprise,驚く
TEXTEMOTION_TXT_000004,Blush,照れる
TEXTEMOTION_TXT_000005,Anger,怒る
TEXTEMOTION_TXT_000006,Sigh,ため息
TEXTEMOTION_TXT_000007,Wink,ウインク
TEXTEMOTION_TXT_000008,Ache,痛い
TEXTEMOTION_TXT_000009,Hunger,空腹
TEXTEMOTION_TXT_000010,Yummy,おいしい
TEXTEMOTION_TXT_000011,Sneer,フフ
TEXTEMOTION_TXT_000012,Sparkle,ワクワク
TEXTEMOTION_TXT_000013,Ridicule,ニヤニヤ
TEXTEMOTION_TXT_000014,Sleepy,眠い
TEXTEMOTION_TXT_000015,Rich,金儲け
TEXTEMOTION_TXT_000016,Glare,睨む
TEXTEMOTION_TXT_000017,Sweat,汗
TEXTEMOTION_TXT_000018,Cat face,猫
TEXTEMOTION_TXT_000019,Tongue,てへぺろ
TEXTEMOTION_TXT_000020,Mad,怒り
TEXTEMOTION_TXT_000021,Aha,ひらめく
TEXTEMOTION_TXT_000022,Embarrassed,慌てる
TEXTEMOTION_TXT_000023,Help,助けて
TEXTEMOTION_TXT_000024,Crazy,激おこ
TEXTEMOTION_TXT_000025,Oh!,！！
TEXTEMOTION_TXT_000026,Confused,考え中
TEXTEMOTION_TXT_000027,Ouch,痛ーい
TEXTEMOTION_TXT_000028,Love,きゅん
TEXTEMOTION_TXT_100000,Risitas,草
TEXTEMOTION_TXT_100001,Broken Heart,失恋
TEXTEMOTION_TXT_100002,Sadge,ぴえん
TEXTEMOTION_TXT_100003,Copium,現実逃避
TEXTEMOTION_TXT_100004,Susge,怪しい...
TEXTEMOTION_TXT_100005,Sheesh,うわぁ
TEXTEMOTION_TXT_100006,Acktually,ドヤァ
