Key,English,Japanese
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,有名な採集者
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,薬草採取マスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,有名な木こり
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,伐採マスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,有名な採掘者
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,採掘マスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,有名な釣り人
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,釣りマスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,有名な料理人
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,料理マスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,有名な錬金術師
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,錬金術マスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,有名な木工職人
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,木工マスタリーのランキング報酬。
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,有名な鍛冶屋
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,鍛冶マスタリーのランキング報酬。
