Key,English,Japanese
ITEMTYPE_1H_SWORD,1H Sword,ソード(片手)
ITEMTYPE_2H_SWORD,2H Sword,ソード(両手)
ITEMTYPE_1H_AXE,1H Axe,斧(片手)
ITEMTYPE_2H_AXE,2H Axe,斧(両手)
ITEMTYPE_KNUCKLE,Knuckle,ナックル
ITEMTYPE_STICK,Stick,スティック
ITEMTYPE_BOW,Bow,弓
ITEMTYPE_YOYO,Yo-Yo,ヨーヨー
ITEMTYPE_WAND,Wand,ワンド
ITEMTYPE_STAFF,Staff,スタッフ
ITEMTYPE_COSTUME,Costume,コスチューム
ITEMTYPE_SHOES,Shoes,シューズ
ITEMTYPE_PICKUP,Pick-Up Pet,収集ペット
ITEMTYPE_REAR_PET,Raised Pet,育成ペット
ITEMTYPE_CONSUMABLE,Consumable,消耗品
ITEMTYPE_BOARD,Board,ボード
ITEMTYPE_CAR,Car,車
ITEMTYPE_WINGS,Wings,ウィング
ITEMTYPE_BIKE,Bike,バイク
ITEMTYPE_BERRY,Berry,ベリー
ITEMTYPE_DICE,Dice,ダイス
ITEMTYPE_BOX,Box,ボックス
ITEMTYPE_VANITY,Vanity,Vanity
ITEMTYPE_CHIP,Chip,チップ
