Key,English,Japanese
PROPITEM_TXT_000001,,
PROPITEM_TXT_000002,Hand,素手
PROPITEM_TXT_000004,Penya,ペニャ
PROPITEM_TXT_000012,P.K Reward,P.K報酬
PROPITEM_TXT_000014,(Practice) Wooden Sword,（練習用）ウッド・ソード
PROPITEM_TXT_000016,Wooden Sword,ウッド・ソード
PROPITEM_TXT_000018,Normal Sword,ノーマル・ソード
PROPITEM_TXT_000020,Long Sword,ロング・ソード
PROPITEM_TXT_000022,Hand Saw,ハンド・ソー
PROPITEM_TXT_000024,Hand Claw,グラディウス
PROPITEM_TXT_000026,Leaf Sword,リーフ・ソード
PROPITEM_TXT_000028,Parmil Sword,パーミル・ソード
PROPITEM_TXT_000030,Penel Sword,ペネル・ソード
PROPITEM_TXT_000032,Crimson Sword,クリムゾン・ソード
PROPITEM_TXT_000034,Flower Sword,フラワー・ソード
PROPITEM_TXT_000036,Petal Sword,フェータル・ソード
PROPITEM_TXT_000038,Star Sword,スター・ソード
PROPITEM_TXT_000040,Blink Sword,ブリンク・ソード
PROPITEM_TXT_000042,Slogger Sword,スロッガー・ソード
PROPITEM_TXT_000044,Outlaw Sword,アウトロウ・ソード
PROPITEM_TXT_000046,Fairlight Sword,フェアライト・ソード
PROPITEM_TXT_000048,Fairslender Sword,フェアスレンダー・ソード
PROPITEM_TXT_000050,Turtle Sword,タートル・ソード
PROPITEM_TXT_000052,Clip Sword,クリップ・ソード
PROPITEM_TXT_000054,Oval Sword,オーバル・ソード
PROPITEM_TXT_000056,Tao Sword,タオ・ソード
PROPITEM_TXT_000058,Jaim Sword,ジェイム・ソード
PROPITEM_TXT_000060,Sepal Sword,シーパル・ソード
PROPITEM_TXT_000062,Hansel Sword,ヘンゼル・ソード
PROPITEM_TXT_000064,Cyclos Sword,サイロス・ソード
PROPITEM_TXT_000066,Comet Sword,コメット・ソード
PROPITEM_TXT_000068,Invader Sword,インベーダ・ソード
PROPITEM_TXT_000070,Pricker Sword,プリッカー・ソード
PROPITEM_TXT_000072,Stitch Sword,スティッチ・ソード
