Key,English,Japanese
ETC_INC_000000,Vagrant,放浪者
ETC_INC_000001,Mercenary,マーシナリー
ETC_INC_000002,Acrobat,アクロバット
ETC_INC_000003,Assist,アシスト
ETC_INC_000004,Magician,マジシャン
ETC_INC_000005,Puppeteer,パペッティアー
ETC_INC_000006,Knight,ナイト
ETC_INC_000007,Blade,ブレード
ETC_INC_000008,Jester,ジェスター
ETC_INC_000009,Ranger,レンジャー
ETC_INC_000010,Ringmaster,リングマスター
ETC_INC_000011,Billposter,ビルポスター
ETC_INC_000012,Psykeeper,サイキーパー
ETC_INC_000013,Elementor,エレメンター
ETC_INC_000014,Gatekeeper,ゲートキーパー
ETC_INC_000015,Doppler,ドップラー
ETC_INC_SPECIALIST_000016,Templar,テンプラー
ETC_INC_SPECIALIST_000017,Slayer,スレイヤー
ETC_INC_SPECIALIST_000018,Harlequin,ハーレクイン
ETC_INC_SPECIALIST_000019,Crackshooter,クラックシューター
ETC_INC_SPECIALIST_000020,Seraph,セラフ
ETC_INC_SPECIALIST_000021,Forcemaster,フォースマスター
ETC_INC_SPECIALIST_000022,Mentalist,メンタリスト
ETC_INC_SPECIALIST_000023,Arcanist,アルカニスト
ETC_INC_SPECIALIST_000024,Summoner,サモナー
ETC_INC_SPECIALIST_000025,Trapmaster,トラップマスター
